Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected 1
9/26/2004,6:00 a.m.,10/1/2004, 12:00 a.m.,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,Hurricane Jeanne,"1,800","722,000"
9/27/2004,8:00 a.m.,9/27/2004, 2:00 p.m.,Georgia,SERC,Hurricane Jeanne,854,"85,455"
9/27/2004,4:06 p.m.,9/27/2004, 4:12 p.m.,Nova Scotia,NPCC,Switch Error Concerning Breakers,-,-
10/10/2004,5:09 p.m.,10/11/2004, 7:57 p.m.,Island Wide,PR,Breaker Failure,All,All
10/18/2004, 10:30 p.m.,10/20/2004, 9:00 a.m.,Northern California,WECC,Severe Storm with High Wind Gusts,140,"407,440"
10/25/2004,11:00 a.m.,10/26/2004, 10:00 a.m.,Southeastern Louisiana in the New Orleans area,SPP,Public Appeal/Breaker Failure and Fire,-,-
10/28/2004,3:27 p.m.,10/28/2004, 6:08 p.m.,"San  Jose, California",WECC,Major Transmission Distribution System Interruption,103,"59,458"
10/30/2004,10:00 a.m.,11/1/2004, 6:00 p.m.,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",ECAR,Severe Storm with High Wind Gusts,60,"122,000"
10/30/2004,12:30  p.m.,11/3/2004, 1:50 p.m.,Southeastern Michigan,ECAR,High Wind Gusts,700,"159,870"
11/9/2004,2:15 p.m.,11/12/2004, 1:07p.m.,"Sayreville, New Jersey Long Island, New York",NPCC,Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,0,0
11/14/2004,4:55 a.m.,11/15/2004, 1:31 a.m.,Nova Scotia ,NPCC,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",165,"165,000"
11/23/2004,10:00 p.m.  ,11/24/2004, 1:00 a.m.,"Houston, Texas and surrounding suburban areas",ERCOT,Strong Thunderstorms,150,"119,000"
11/24/2004,10:00 a.m.,11/24/2004, 4:00 p.m.,Georgia,SERC,Strong Thunderstorms,100,"83,450"
12/1/2004,10:00 a.m.,12/2/2004, 11:59 p.m.,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)", MAAC,High Winds,270,"122,000"
12/1/2004,7:30 a.m.,12/2/2004, 10:09 p.m.,"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",MAAC,Heavy Rain and Wind Storm,-,"105,312"
12/23/2004,3:37 a.m.,12/31/2004, 11:00 p.m.,Columbus District,ECAR,Major Freezing Rain and Ice Storm,800,"359,171"
12/27/2004,7:50 a.m.,12/27/2004, 10:50 a.m.,"Salinas, California and surrounding communities",WECC,Severe Weather/Line Relayed,100,"95,000"
