Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
9/13/2015,5:56 PM,9/13/2015,8:37 PM,New York: Dutchess County;,NPCC,Suspected Physical Attack,Vandalism,0,0
9/20/2015,1:12 PM,9/20/2015,1:44 PM,California,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,System Operations,150,0
9/29/2015,3:40 PM,9/29/2015,3:41 PM,Oregon,WECC,Suspected Physical Attack,Vandalism,0,0
10/13/2015,6:30 AM,10/13/2015,8:30 AM,Utah: Emery County;,WECC,Suspected Physical Attack,Vandalism,0,0
10/13/2015,10:25 AM,10/13/2015,6:00 PM,Texas,TRE,Public appeal to reduce the use of electricity,Other,0,0
10/13/2015,4:32 PM,10/13/2015,8:39 PM,California,WECC,Public appeal to reduce the use of electricity,Other,41788,0
10/16/2015,12:25 PM,10/16/2015,12:56 PM,Utah ,WECC,Suspected Physical Attack,Vandalism,0,0
10/18/2015,7:00 AM,10/18/2015,11:29 PM,California: Central Coast area;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,88,55677
10/23/2015,9:42 AM,10/23/2015,1:26 PM,Puerto Rico,N/A,"Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational / Load shedding of 100 Megawatts or more implemented under emergency operational policy / System-wide voltage reductions of 3 percent of more / Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,500,300000
10/28/2015,1:38 PM,10/29/2015,5:00 PM,Pennsylvania: Columbia County; Montour County; Northumberland County;,RFC,Suspected Physical Attack,Other,0,35000
10/30/2015,3:00 PM,10/30/2015,4:00 PM,Oregon: Josephine County;,WECC,Suspected Physical Attack,Other,0,0
10/31/2015,12:45 AM,11/1/2015,4:05 PM,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,130252
11/1/2015,11:53 AM,11/1/2015,12:00 PM,Ohio: Hamilton County;,RFC,Suspected Physical Attack,Vandalism,0,0
11/2/2015,5:37 PM,11/4/2015,9:00 AM,Arkansas: Hot Spring County;,SERC,Suspected Physical Attack,Sabotage,4,0
11/10/2015,12:00 PM,11/10/2015,2:00 PM,Indiana: Dearborn County;,RFC,Suspected Physical Attack,Sabotage,0,0
11/13/2015,11:30 AM,11/13/2015,11:35 AM,New York,NPCC,Suspected Physical Attack,Suspicious Activity ,0,0
11/17/2015,9:00 AM,Unknown,Unknown,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,900,89000
11/17/2015,10:00 AM,Unknown,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,300000
11/17/2015,1:30 PM,Unknown,Unknown,"Washington: Stevens County, Lincoln County, Adams County, Whitman County, Spokane County; Idaho: Bonner County, Kootenai County, Shoshone County, Benewah County, Idaho County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,182000
11/21/2015,8:30 PM,11/23/2015,1:00 AM,Michigan,RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,60000
11/28/2015,6:00 AM,11/30/2015,1:00 PM,Oklahoma,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,55609
11/28/2015,6:00 AM,Unknown,Unknown,Oklahoma,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,35000
11/29/2015,4:48 PM,11/29/2015,6:20 PM,Puerto Rico,N/A,System-wide voltage reductions of 3 percent or more,System Operations,0,0
11/30/2015,6:18 AM,11/30/2015,9:18 PM,Puerto Rico,N/A,System-wide voltage reductions of 3 percent or more,System Operations,100,86559
12/2/2015,1:03 PM,12/3/2015,12:29 PM,Kansas: Thomas County;,SPP,Suspected Physical Attack,Vandalism,0,0
12/5/2015,9:00 PM,12/5/2015,10:30 PM,Kansas,SPP,Suspected Physical Attack,Vandalism,0,0
12/5/2015,7:22 PM,12/6/2015,5:27 AM,"New York: Orange County, Sullivan County; Pennsylvania: Pike County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Other,110,52476
12/8/2015,2:00 PM,12/8/2015,2:01 PM,Nevada: Clark County;,WECC,Suspected Physical Attack,Sabotage,0,0
12/9/2015,6:06 PM,12/9/2015,9:52 PM,Puerto Rico,,System-wide voltage reductions of 3 percent or more,System Operations,0,0
12/9/2015,4:00 AM,12/9/2015,11:00 AM,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,115,76300
12/10/2015,9:25 PM,12/10/2015,10:30 PM,Missouri: New Madrid County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,400,1
12/10/2015,5:55 PM,12/10/2015,5:56 PM,California: Stanislaus County;,WECC,Suspected Physical Attack,Vandalism,0,0
12/10/2015,3:53 AM,12/10/2015,4:08 AM,California: Plumas County,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,Severe Weather,24,9956
12/10/2015,6:01 AM,12/10/2015,7:13 AM,California: Northern;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,Severe Weather,29,9956
12/24/2015,3:00 AM,12/26/2015,12:00 AM,"Michigan: Antrim County, Charlevoix County, Manistee County, Mecosta County, Kalkaska County, Grand Traverse County, Osceola County, Lake County, Newaygo County, Clare County, Isabella County;",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,168000
12/26/2015,7:30 PM,Unknown,Unknown,Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,70000
12/26/2015,6:00 PM,12/30/2015,6:00 AM,Texas: Oklahoma:,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,116800
12/27/2015,11:38 PM,12/28/2015,5:00 PM,Oklahoma,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,54476
12/27/2015,5:00 PM,Unknown,Unknown,Oklahoma,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,50500
12/29/2015,8:30 AM,12/29/2015,8:31 AM,Maine,NPCC,Suspected Physical Attack,Sabotage,0,0
12/31/2015,5:00 PM,12/31/2015,9:40 PM,Oklahoma: Blaine County;,SPP,Public appeal to reduce the use of electricity,Severe Weather,8,1500
12/31/2015,11:00 AM,Unknown,Unknown,Missouri,SERC,Suspected Physical Attack,Sabotage,0,0
